City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Richards Bay,ZA,2020-10-31 17:32:22,-28.78,32.04,66.34,85,100,7.96
120,Ferkessedougou,CI,2020-10-31 17:36:53,9.6,-5.2,83.82,42,12,3.65
121,Alofi,NU,2020-10-31 17:30:18,-19.06,-169.92,73.4,94,81,10.29
122,Udachnyy,RU,2020-10-31 17:35:55,66.42,112.4,3.2,84,0,2.24
123,Bluff,NZ,2020-10-31 17:32:52,-46.6,168.33,46.99,81,38,5.01
124,Mataura,NZ,2020-10-31 17:33:50,-46.19,168.86,46.99,81,3,5.01
125,Wanxian,CN,2020-10-31 17:36:53,30.8,108.39,60.71,85,100,3.15
126,Saint-Francois,FR,2020-10-31 17:34:18,46.42,3.91,55.99,87,0,1.12
127,Torbay,CA,2020-10-31 17:33:49,47.67,-52.73,37.0,74,90,16.11
128,Cocobeach,GA,2020-10-31 17:36:54,1.0,9.58,78.42,87,100,7.65
129,Cranbrook,CA,2020-10-31 17:36:54,49.5,-115.77,37.4,59,5,2.24
130,Vila Velha,BR,2020-10-31 17:33:51,-20.33,-40.29,73.4,83,75,5.82
131,Trelew,AR,2020-10-31 17:36:54,-43.25,-65.31,84.67,14,0,10.45
132,Port Elizabeth,ZA,2020-10-31 17:34:14,-33.92,25.57,62.6,82,75,3.36
133,Batagay,RU,2020-10-31 17:36:54,67.63,134.63,-11.9,88,87,3.13
134,Carutapera,BR,2020-10-31 17:33:39,-1.2,-46.02,87.53,57,24,10.13
135,Hilo,US,2020-10-31 17:33:33,19.73,-155.09,75.99,69,20,6.93
136,Suoyarvi,RU,2020-10-31 17:36:55,62.08,32.35,30.36,98,0,3.49
137,Kualakapuas,ID,2020-10-31 17:36:55,-3.01,114.39,75.36,95,100,1.45
138,Najran,SA,2020-10-31 17:36:55,17.49,44.13,71.6,26,0,4.7
139,Cape Town,ZA,2020-10-31 17:33:55,-33.93,18.42,64.99,59,0,19.46
140,Avera,US,2020-10-31 17:36:55,33.19,-82.53,62.6,55,90,11.41
141,Ferme-Neuve,CA,2020-10-31 17:36:55,46.7,-75.45,35.6,40,9,9.17
142,Krasnyy Chikoy,RU,2020-10-31 17:36:55,50.36,108.75,22.86,88,88,11.21
